dossier_id|numero_dossier|td|adr_td_code|adr_td_localite
50249985|02728420G0120|terrain|27140|Gisors
50249985|02728420G0120|demandeur|95310|Saint-Ouen-l'Aumône
50249986|04404320A1051|demandeur|44190|Clisson
50249986|04404320A1051|terrain|44190|Clisson
50249987|05768320Y0073|demandeur|57270|Uckange
50249987|05768320Y0073|terrain|57270|Uckange
50351605|0693892100015|demandeur|69003|LYON
50351605|0693892100015|terrain|69009|LYON
50351606|0771222100007|demandeur|77380|Combs-la-Ville
50351606|0771222100007|terrain|77380|Combs-la-Ville
50351607|02728420G0029|demandeur|27140|Gisors
50351607|02728420G0029|terrain|27140|Gisors
50351608|04410920A2076|terrain|44000|Nantes
50351608|04410920A2076|demandeur||
50351609|04404320A2200|demandeur|44190|Clisson
50351609|04404320A2200|terrain|44190|Clisson
50351610|04404320A2202|terrain|44190|Clisson
50351610|04404320A2202|demandeur|44190|Clisson
50351611|04404320A2199|terrain|44190|Clisson
50351611|04404320A2199|demandeur|44190|Clisson
50351612|04404320A2201|terrain|44190|Clisson
50351612|04404320A2201|demandeur|44190|Clisson
50351613|04404320A2205|terrain|44190|Clisson
50351613|04404320A2205|demandeur|44000|Nantes
50351614|04404320A2203|demandeur|69760|Limonest
50351614|04404320A2203|terrain|44190|Clisson
50354180|07215420Z2335|demandeur|72200|La Flèche
50354180|07215420Z2335|terrain|72200|La Flèche
50359098|0912282010155|terrain|91000|Évry-Courcouronnes
50359098|0912282010155|demandeur|94300|Vincennes
50372874|0771222100002|demandeur|94380|Bonneuil-sur-Marne
50372874|0771222100002|terrain|77380|Combs-la-Ville
50372875|07215420Z2339|demandeur|72200|La Flèche
50372875|07215420Z2339|terrain|72200|La Flèche
50372876|07215420Z2331|demandeur|72200|La Flèche
50372876|07215420Z2331|terrain|72200|La Flèche
50372877|07215420Z6174|demandeur|72200|Mareil-sur-Loir
50372877|07215420Z6174|terrain|72200|La Flèche
50372878|07215420Z6176|terrain|72200|La Flèche
50372878|07215420Z6176|demandeur|72200|La Flèche
50372879|02728420G0135|demandeur|27140|Gisors
50372879|02728420G0135|terrain|27140|Gisors
50377861|04410920A0531|terrain|44000|Nantes
50377861|04410920A0531|demandeur|44300|Nantes
50377862|04410920A1766|terrain|44000|Nantes
50377862|04410920A1766|demandeur||
50379227|0690342000038|demandeur|69007|LYON
50379227|0690342000038|terrain|69300|Caluire-et-Cuire
50386072|04404320A2204|terrain|44190|Clisson
50386072|04404320A2204|demandeur|44190|Clisson
50386073|04404320A2206|demandeur|44190|Clisson
50386073|04404320A2206|terrain|44190|Clisson
50386074|04404321A2001|terrain|44190|Clisson
50386074|04404321A2001|demandeur|44190|Clisson
50386075|04404321A2002|demandeur|44190|Clisson
50386075|04404321A2002|terrain|44190|Clisson
50386076|04404321A2003|terrain|44190|Clisson
50386076|04404321A2003|demandeur|44190|Clisson
50386077|04404321A2004|demandeur|44190|Clisson
50386077|04404321A2004|terrain|44190|Clisson
50402324|0771222100009|terrain|77380|Combs-la-Ville
50402324|0771222100009|demandeur|77380|Combs-la-Ville
50402325|04410920A1835|demandeur||
50402325|04410920A1835|terrain|44100|Nantes
50402326|04410920A0577|demandeur|44000|Nantes
50402326|04410920A0577|terrain|44000|Nantes
50402327|04410920A2234|demandeur|44100|Nantes
50402327|04410920A2234|terrain|44100|Nantes
50402328|001300420R016|terrain|13200|Arles
50402328|001300420R016|demandeur|13230|Port-Saint-Louis-du-Rhône
50402329|05720620V0021|demandeur|57290|Fameck
50402329|05720620V0021|terrain|57290|Fameck
50402330|04410920A2442|demandeur|44000|Nantes
50402330|04410920A2442|terrain|44100|Nantes
50402331|04410920A0542|terrain|44100|Nantes
50402331|04410920A0542|demandeur|44100|Nantes
50402332|01300420R1162|terrain|13200|Arles
50402332|01300420R1162|demandeur|13230|Port-Saint-Louis-du-Rhône
